"attrition","training_spend","education_level","job_title","gender_male","performance_rating","boss_rating_avg","salary","overtime_per_week","traveldays_per_year","lastpromotion_months","salary_difference"
FALSE,2161,"BSc","Junior developer",TRUE,4,2,4247,8,36,11,6.02362204723795
FALSE,1945,"BSc","Senior developer",TRUE,3,3.7,6933,2,27,16,209.370370370368
FALSE,2274,"BSc","Developer",TRUE,5,3,6260,10,31,18,212.228571428557
TRUE,2109,"MSc or MBA","Business analyst",FALSE,3,3.5,3990,9,20,6,47.232323232302
TRUE,1919,"MSc or MBA","Designer",FALSE,2,2.9,4473,11,23,11,-37.3607594936502
FALSE,2248,"BSc","Developer",FALSE,4,4.4,6076,5,15,5,28.2285714285572
FALSE,2060,"BSc","Associate",TRUE,3,2.7,5106,4,20,26,22.6551724138053
FALSE,2340,"BSc","Junior developer",FALSE,3,2,3947,7,24,19,25.1423611111009
FALSE,1850,"BSc","Associate",FALSE,2,2.5,4978,2,23,16,-105.344827586195
TRUE,2547,"BSc","Associate",TRUE,4,2.7,5375,8,42,21,-63.7692307692141
FALSE,2383,"MSc or MBA","Developer",TRUE,5,4.1,6345,6,20,8,297.228571428557
FALSE,1941,"MSc or MBA","Junior designer",FALSE,2,3,3931,2,27,16,0.0308880308630251
FALSE,1822,"BSc","Associate",TRUE,2,3.6,4911,10,38,6,-172.344827586195
FALSE,2064,"MSc or MBA","Junior developer",FALSE,3,3,4092,3,27,21,170.142361111101
TRUE,1938,"BSc","Junior developer",TRUE,2,2.8,3765,0,31,17,-156.857638888898
FALSE,1913,"BSc","Junior designer",FALSE,1,3.1,3752,4,25,24,-178.969111969137
FALSE,1762,"MSc or MBA","Associate",FALSE,2,3.1,5011,2,12,23,-72.3448275861947
FALSE,1989,"BSc","Junior designer",FALSE,3,3.7,4010,5,29,13,79.0308880308621
FALSE,1804,"BSc","Lead developer",TRUE,3,1.1,9266,3,19,4,262.499999999909
FALSE,1583,"BSc","Junior developer",FALSE,2,2.7,3811,2,27,28,-110.857638888898
FALSE,1905,"BSc","Senior designer",TRUE,4,2.9,7265,2,24,7,16.6363636363958
FALSE,1856,"MSc or MBA","Designer",TRUE,3,2.9,4586,13,11,8,75.6392405063498
FALSE,2152,"BSc","Consultant",TRUE,3,3.3,7442,8,15,32,117.042857142836
TRUE,1986,"BSc","Junior designer",TRUE,2,3.1,3903,6,16,28,-27.969111969137
FALSE,2130,"BSc","Business analyst",FALSE,3,2.9,4053,0,18,31,110.232323232302
FALSE,2026,"BSc","Developer",TRUE,4,2.8,6087,2,19,22,39.2285714285572
FALSE,1788,"BSc","Junior developer",FALSE,2,1.4,3779,14,38,13,-142.857638888898
TRUE,2029,"MSc or MBA","Developer",FALSE,4,3,5985,2,19,16,-62.7714285714428
TRUE,1763,"BSc","Junior designer",FALSE,3,3.6,3982,5,15,35,51.0308880308621
TRUE,1936,"BSc","Associate",FALSE,2,1.2,5007,8,14,21,-76.3448275861947
TRUE,2461,"MSc or MBA","Developer",FALSE,3,2.8,5696,14,18,14,98.5166666666573
FALSE,2059,"BSc","Junior designer",FALSE,4,2.9,4175,2,39,25,-54.2142857143081
FALSE,2019,"BSc","Consultant",TRUE,3,3,7452,6,17,33,127.042857142836
FALSE,1760,"BSc","Associate",FALSE,3,4,5207,1,6,13,123.655172413805
FALSE,1982,"MSc or MBA","Business analyst",FALSE,3,2.5,3981,1,30,16,38.232323232302
FALSE,2361,"BSc","Lead designer",TRUE,4,4.2,8946,11,19,21,-48.3333333332976
FALSE,2113,"MSc or MBA","Junior designer",FALSE,2,3.3,3891,4,14,20,-39.969111969137
FALSE,2010,"BSc","Consultant",TRUE,3,2.4,7407,1,14,11,82.0428571428356
FALSE,1894,"DSc or PhD","Senior designer",TRUE,4,2.4,7213,6,19,19,-35.3636363636042
TRUE,2283,"MSc or MBA","Developer",TRUE,5,2.6,6174,6,19,31,126.228571428557
TRUE,1635,"MSc or MBA","Developer",TRUE,1,2.6,5303,1,39,17,-294.483333333343
FALSE,2185,"BSc","Business analyst",FALSE,3,2.6,3983,5,27,3,40.232323232302
FALSE,1639,"MSc or MBA","Senior designer",TRUE,3,2.6,6977,1,46,4,227.909090909119
FALSE,2175,"MSc or MBA","Consultant",TRUE,3,2.8,7458,3,14,5,133.042857142836
FALSE,1934,"BSc","Business analyst",TRUE,2,1.4,3775,7,15,21,-167.767676767697
FALSE,1607,"MSc or MBA","Senior developer",TRUE,2,2.5,6626,4,18,16,-97.6296296296305
FALSE,1621,"BSc","Designer",TRUE,3,3.2,4677,8,19,8,166.63924050635
FALSE,1600,"BSc","Junior designer",FALSE,3,4,3985,3,12,18,54.0308880308621
FALSE,1867,"BSc","Junior developer",FALSE,3,3.8,4005,11,21,15,83.1423611111009
TRUE,2172,"BSc","Junior developer",TRUE,1,2.1,3640,6,23,21,-281.857638888899
FALSE,2525,"BSc","Junior developer",TRUE,3,2.7,3951,3,29,31,29.1423611111009
TRUE,1678,"MSc or MBA","Junior developer",TRUE,3,2.5,3966,9,20,26,44.1423611111009
FALSE,2197,"BSc","Junior developer",TRUE,4,2.6,4186,1,33,27,-54.976377952762
FALSE,2192,"BSc","Business analyst",TRUE,5,3.5,4433,1,18,23,191.111111111093
TRUE,1970,"BSc","Developer",FALSE,2,1.8,5585,6,19,5,-12.4833333333427
FALSE,1930,"BSc","Junior developer",FALSE,4,2.3,4173,4,16,8,-67.976377952762
FALSE,2141,"DSc or PhD","Developer",FALSE,4,3,6075,2,22,19,27.2285714285572
FALSE,1907,"BSc","Designer",TRUE,3,1.7,4518,6,26,0,7.63924050634978
FALSE,2244,"BSc","Designer",FALSE,3,3,4690,7,30,18,179.63924050635
FALSE,1906,"MSc or MBA","Lead developer",FALSE,2,3.9,8896,1,22,13,-107.500000000091
FALSE,2263,"MSc or MBA","Developer",TRUE,2,3.7,5523,1,39,35,-74.4833333333427
TRUE,1738,"MSc or MBA","Designer",TRUE,1,3,4256,8,21,30,-254.36075949365
FALSE,1685,"BSc","Junior developer",TRUE,2,1,3778,0,17,14,-143.857638888898
TRUE,2159,"MSc or MBA","Junior developer",FALSE,4,4.3,4122,6,17,26,-118.976377952762
FALSE,1879,"BSc","Junior designer",TRUE,3,3.4,4090,2,8,19,159.030888030862
TRUE,2129,"BSc","Junior designer",TRUE,4,3.2,4269,4,24,8,39.7857142856919
FALSE,2092,"MSc or MBA","Senior designer",TRUE,5,2.9,7487,7,15,22,238.636363636396
TRUE,1946,"BSc","Developer",TRUE,2,4.1,5591,6,16,21,-6.48333333334267
FALSE,2016,"BSc","Developer",FALSE,3,2.8,5751,8,15,18,153.516666666657
FALSE,1991,"BSc","Junior developer",FALSE,2,3.5,3800,6,22,22,-121.857638888898
FALSE,2532,"MSc or MBA","Junior designer",FALSE,4,2.5,4246,1,0,10,16.7857142856919
FALSE,1815,"BSc","Business analyst",FALSE,3,3.7,4074,5,28,13,131.232323232302
FALSE,1726,"DSc or PhD","Consultant",TRUE,2,3,7173,5,34,11,-151.957142857163
FALSE,2109,"MSc or MBA","Consultant",FALSE,3,1.4,7379,11,29,21,54.0428571428356
FALSE,1885,"BSc","Junior designer",FALSE,2,2.7,3824,6,10,18,-106.969111969137
FALSE,2316,"BSc","Business analyst",TRUE,4,3.8,4106,0,19,24,-135.888888888907
TRUE,1913,"BSc","Junior developer",TRUE,2,3.3,3852,9,37,37,-69.8576388888982
FALSE,1784,"BSc","Junior designer",TRUE,2,2.4,3860,3,25,22,-70.969111969137
FALSE,1951,"MSc or MBA","Junior developer",TRUE,1,3.2,3670,2,43,2,-251.857638888899
FALSE,2277,"BSc","Developer",FALSE,4,2.6,6039,1,7,36,-8.77142857144281
FALSE,2021,"BSc","Designer",FALSE,3,3.5,4654,13,19,38,143.63924050635
FALSE,2189,"BSc","Developer",FALSE,3,3,5814,7,1,26,216.516666666657
FALSE,2054,"MSc or MBA","Business analyst",FALSE,1,2.9,3739,10,11,11,-203.767676767698
FALSE,1919,"BSc","Associate",FALSE,4,4.2,5301,6,28,29,-137.769230769214
FALSE,1672,"MSc or MBA","Junior designer",FALSE,3,2.5,3998,8,19,19,67.0308880308621
FALSE,2499,"MSc or MBA","Business analyst",FALSE,3,3.2,4085,2,30,31,142.232323232302
FALSE,2150,"MSc or MBA","Associate",TRUE,4,1.4,5477,1,37,10,38.2307692307859
TRUE,1687,"BSc","Junior developer",FALSE,2,3.6,3918,8,16,13,-3.85763888889824
FALSE,1847,"BSc","Senior designer",TRUE,2,2.6,6586,2,25,27,-163.090909090879
FALSE,1704,"MSc or MBA","Junior developer",TRUE,2,2.9,3848,4,8,8,-73.8576388888982
FALSE,2550,"MSc or MBA","Junior developer",TRUE,2,3.7,3874,2,5,16,-47.8576388888982
FALSE,2136,"BSc","Junior designer",TRUE,3,2.9,4045,1,26,6,114.030888030862
FALSE,1803,"BSc","Junior developer",TRUE,3,3.6,3980,7,22,17,58.1423611111009
FALSE,2413,"MSc or MBA","Consultant",TRUE,2,3.9,7155,1,10,12,-169.957142857163
TRUE,1986,"BSc","Junior developer",FALSE,1,2.7,3652,1,27,31,-269.857638888899
FALSE,2030,"MSc or MBA","Junior designer",FALSE,2,2.2,3835,5,20,3,-95.969111969137
FALSE,2061,"BSc","Developer",FALSE,4,2.7,5988,14,4,20,-59.7714285714428
FALSE,2308,"MSc or MBA","Designer",TRUE,4,3.7,4849,2,29,9,1.34848484850409
FALSE,1871,"MSc or MBA","Associate",FALSE,3,2.4,5243,7,20,5,159.655172413805
FALSE,1752,"MSc or MBA","Senior developer",TRUE,3,3.8,6942,0,36,21,218.370370370368
FALSE,2419,"BSc","Junior developer",TRUE,2,3.5,3942,2,14,29,20.1423611111018
TRUE,1890,"BSc","Designer",TRUE,2,4.3,4447,4,37,21,-63.3607594936502
FALSE,1819,"BSc","Business analyst",FALSE,3,1.3,4050,4,19,10,107.232323232302
TRUE,1691,"MSc or MBA","Consultant",TRUE,1,4.5,6885,9,6,7,-439.957142857163
FALSE,1857,"BSc","Junior developer",FALSE,3,3.2,4121,6,14,23,199.142361111101
FALSE,2154,"MSc or MBA","Developer",TRUE,3,3.3,5734,4,2,15,136.516666666657
FALSE,2277,"BSc","Junior developer",TRUE,2,2.1,3852,2,19,22,-69.8576388888982
FALSE,2177,"BSc","Developer",TRUE,4,4.1,5975,9,35,35,-72.7714285714428
FALSE,1909,"BSc","Associate",TRUE,4,3.2,5306,6,24,26,-132.769230769214
FALSE,2015,"MSc or MBA","Developer",TRUE,3,2.5,5745,3,17,9,147.516666666657
FALSE,1824,"BSc","Junior developer",TRUE,4,1.9,4183,10,16,21,-57.976377952762
TRUE,2221,"BSc","Junior designer",FALSE,3,2.9,4035,7,26,16,104.030888030862
TRUE,1977,"MSc or MBA","Junior designer",TRUE,2,3.9,3795,7,27,14,-135.969111969137
FALSE,2054,"MSc or MBA","Business analyst",FALSE,2,3.4,3915,3,13,17,-27.7676767676971
FALSE,1815,"MSc or MBA","Designer",TRUE,3,1.9,4565,2,18,30,54.6392405063498
FALSE,1856,"MSc or MBA","Developer",TRUE,2,3,5561,2,27,3,-36.4833333333427
FALSE,1954,"BSc","Developer",TRUE,2,4.6,5454,0,22,16,-143.483333333343
FALSE,2105,"BSc","Business analyst",FALSE,4,3.3,4122,1,8,6,-119.888888888907
FALSE,1805,"BSc","Designer",TRUE,1,4,4172,4,27,12,-338.36075949365
FALSE,1803,"BSc","Junior developer",TRUE,3,2.8,4022,11,16,12,100.142361111101
FALSE,1874,"BSc","Junior developer",FALSE,3,1.3,4064,1,24,17,142.142361111101
FALSE,2374,"BSc","Developer",FALSE,4,3.7,5994,12,30,15,-53.7714285714428
FALSE,1955,"BSc","Business analyst",FALSE,3,4.3,3947,6,6,33,4.23232323230195
FALSE,2476,"MSc or MBA","Business analyst",FALSE,3,2.8,4067,4,13,36,124.232323232302
FALSE,1975,"BSc","Junior developer",TRUE,2,3.1,3914,3,12,9,-7.85763888889824
FALSE,1660,"BSc","Developer",FALSE,4,2,6039,2,17,11,-8.77142857144281
FALSE,1834,"BSc","Junior developer",TRUE,2,3.3,3840,8,34,17,-81.8576388888982
FALSE,2121,"BSc","Junior designer",FALSE,2,2.7,3811,4,19,34,-119.969111969137
FALSE,1906,"BSc","Senior developer",TRUE,2,2,6652,14,2,24,-71.6296296296305
FALSE,1914,"MSc or MBA","Associate",FALSE,4,2.3,5313,7,25,10,-125.769230769214
FALSE,2023,"BSc","Senior developer",TRUE,4,1.6,7239,8,9,34,-7.23333333333358
FALSE,2400,"DSc or PhD","Associate",TRUE,3,2.2,5232,6,12,9,148.655172413805
FALSE,1978,"BSc","Junior developer",FALSE,3,2.2,3928,7,35,14,6.14236111110085
FALSE,2270,"MSc or MBA","Designer",FALSE,3,4.3,4693,1,10,6,182.63924050635
FALSE,2158,"BSc","Associate",FALSE,5,3.3,5703,9,12,19,264.230769230786
FALSE,1617,"BSc","Developer",FALSE,4,3.1,5942,11,30,30,-105.771428571443
TRUE,1870,"MSc or MBA","Junior developer",TRUE,1,2.4,3692,8,18,20,-229.857638888899
FALSE,1878,"BSc","Junior developer",TRUE,4,1.3,4123,6,20,19,-117.976377952762
FALSE,2325,"BSc","Junior developer",TRUE,5,4.7,4475,1,15,20,234.023622047238
TRUE,2573,"BSc","Junior developer",FALSE,3,3.3,4090,8,14,31,168.142361111101
FALSE,2387,"BSc","Junior developer",TRUE,3,2.7,4109,12,23,23,187.142361111101
FALSE,1967,"MSc or MBA","Junior designer",TRUE,4,2.9,4176,5,34,16,-53.2142857143081
TRUE,1561,"BSc","Associate",TRUE,3,4.1,5093,9,11,25,9.6551724138053
FALSE,1903,"BSc","Business analyst",FALSE,3,2,4053,8,33,17,110.232323232302
FALSE,2022,"BSc","Developer",TRUE,3,3.3,5746,2,18,18,148.516666666657
FALSE,2241,"BSc","Consultant",TRUE,3,2.5,7450,5,31,7,125.042857142836
FALSE,2171,"BSc","Associate",TRUE,3,2.6,5176,5,33,20,92.6551724138053
FALSE,1651,"BSc","Developer",TRUE,3,2.3,5685,2,11,3,87.5166666666573
TRUE,1888,"BSc","Junior designer",TRUE,4,3.5,4143,7,17,19,-86.2142857143081
FALSE,2019,"MSc or MBA","Junior designer",FALSE,4,4.5,4192,1,9,6,-37.2142857143081
FALSE,2107,"BSc","Junior developer",FALSE,3,4,3964,2,26,25,42.1423611111009
FALSE,2006,"BSc","Junior developer",FALSE,4,3.2,4239,1,23,9,-1.97637795276205
TRUE,1583,"MSc or MBA","Junior developer",TRUE,2,2.6,3912,2,21,12,-9.85763888889824
TRUE,2034,"BSc","Developer",FALSE,2,1.9,5568,5,22,25,-29.4833333333427
FALSE,2410,"BSc","Associate",TRUE,3,3.6,5127,2,24,34,43.6551724138053
TRUE,2042,"BSc","Junior developer",TRUE,4,1,4117,3,14,27,-123.976377952762
TRUE,2292,"MSc or MBA","Junior designer",FALSE,4,2.1,4214,2,27,28,-15.2142857143081
FALSE,2264,"BSc","Junior designer",TRUE,4,2.7,4281,4,11,9,51.7857142856919
FALSE,2286,"MSc or MBA","Designer",TRUE,3,2.8,4594,0,13,12,83.6392405063498
FALSE,1856,"BSc","Business analyst",TRUE,2,2.9,3761,7,22,16,-181.767676767697
FALSE,2017,"BSc","Developer",TRUE,4,2.8,5932,1,39,13,-115.771428571443
FALSE,2467,"MSc or MBA","Associate",FALSE,4,2,5416,4,16,29,-22.7692307692141
FALSE,1662,"BSc","Junior developer",TRUE,2,3.2,3822,3,7,7,-99.8576388888982
FALSE,2005,"MSc or MBA","Developer",FALSE,3,2.6,5809,6,26,5,211.516666666657
TRUE,2312,"BSc","Associate",FALSE,4,3.1,5434,10,6,29,-4.76923076921412
FALSE,1821,"BSc","Junior developer",TRUE,3,2.8,3945,2,17,26,23.1423611111009
TRUE,1812,"MSc or MBA","Developer",TRUE,1,2.2,5299,8,26,9,-298.483333333343
FALSE,1765,"MSc or MBA","Designer",TRUE,2,2.2,4319,2,13,20,-191.36075949365
FALSE,1891,"BSc","Designer",TRUE,2,2.5,4378,2,3,26,-132.36075949365
FALSE,1496,"BSc","Junior developer",TRUE,5,3,4449,3,27,8,208.023622047238
TRUE,2309,"BSc","Developer",FALSE,5,3.9,6290,6,24,22,242.228571428557
FALSE,2509,"BSc","Designer",TRUE,5,4.3,4996,1,20,19,148.348484848504
FALSE,2325,"BSc","Lead developer",TRUE,3,4.2,9138,7,24,33,134.499999999909
FALSE,2189,"MSc or MBA","Junior designer",FALSE,2,3.4,3894,6,13,14,-36.969111969137
FALSE,1912,"BSc","Developer",TRUE,2,2.5,5527,3,17,13,-70.4833333333427
FALSE,2176,"MSc or MBA","Senior developer",TRUE,4,3,7234,1,12,32,-12.2333333333336
FALSE,1974,"MSc or MBA","Senior developer",TRUE,2,2.3,6679,8,24,10,-44.6296296296305
FALSE,2421,"MSc or MBA","Junior developer",TRUE,4,2.2,4195,4,18,9,-45.976377952762
FALSE,2228,"DSc or PhD","Designer",TRUE,4,3.2,4725,4,22,28,-122.651515151496
FALSE,2059,"DSc or PhD","Lead developer",TRUE,2,3.3,8764,5,25,23,-239.500000000091
FALSE,2305,"MSc or MBA","Junior developer",TRUE,2,2,3940,4,31,1,18.1423611111018
FALSE,2165,"BSc","Junior developer",FALSE,4,2.1,4260,3,4,26,19.023622047238
FALSE,1869,"BSc","Junior designer",TRUE,1,3.5,3586,1,37,8,-344.969111969137
FALSE,2171,"MSc or MBA","Junior developer",FALSE,4,3.7,4255,6,3,28,14.023622047238
FALSE,1985,"BSc","Developer",TRUE,3,2.6,5709,5,36,44,111.516666666657
FALSE,2158,"BSc","Business analyst",TRUE,4,2.5,4210,1,9,16,-31.8888888889069
FALSE,2334,"BSc","Consultant",TRUE,4,2.5,7850,4,25,25,-14.2631578947594
FALSE,2002,"BSc","Junior developer",TRUE,3,1.4,4036,6,21,6,114.142361111101
TRUE,2254,"MSc or MBA","Lead developer",TRUE,2,2.1,8748,2,19,32,-255.500000000091
TRUE,1703,"MSc or MBA","Junior developer",TRUE,2,1.9,3906,4,11,23,-15.8576388888982
FALSE,1820,"MSc or MBA","Associate",FALSE,3,2.5,5238,4,13,14,154.655172413805
TRUE,2094,"MSc or MBA","Associate",TRUE,4,3,5423,2,26,15,-15.7692307692141
FALSE,1487,"BSc","Business analyst",FALSE,2,2.8,3785,4,25,9,-157.767676767697
FALSE,1950,"BSc","Business analyst",FALSE,3,2.8,3933,2,23,19,-9.76767676769805
FALSE,2216,"BSc","Business analyst",TRUE,4,3.1,4275,2,24,10,33.1111111110931
FALSE,1975,"MSc or MBA","Developer",FALSE,3,3.3,5789,8,17,18,191.516666666657
FALSE,2240,"MSc or MBA","Senior developer",TRUE,2,4.3,6613,2,34,21,-110.62962962963
FALSE,2014,"BSc","Developer",TRUE,4,3,5954,10,37,27,-93.7714285714428
FALSE,1562,"BSc","Designer",FALSE,3,1.7,4578,4,12,19,67.6392405063498
FALSE,1857,"MSc or MBA","Business analyst",FALSE,4,3.8,4135,15,31,19,-106.888888888907
TRUE,1756,"BSc","Developer",TRUE,1,1.9,5270,1,13,31,-327.483333333343
FALSE,1955,"BSc","Junior designer",FALSE,2,2,3808,2,31,11,-122.969111969137
FALSE,2254,"BSc","Developer",TRUE,4,2.2,5952,0,10,14,-95.7714285714428
FALSE,1502,"BSc","Junior developer",TRUE,2,4.3,3835,2,14,14,-86.8576388888982
FALSE,1893,"MSc or MBA","Developer",FALSE,2,2.7,5591,9,27,20,-6.48333333334267
FALSE,2029,"BSc","Junior developer",TRUE,3,4.8,4039,9,27,11,117.142361111101
FALSE,1777,"MSc or MBA","Business analyst",TRUE,1,1.9,3693,11,25,14,-249.767676767698
TRUE,2083,"MSc or MBA","Developer",TRUE,2,1.9,5589,10,10,38,-8.48333333334267
FALSE,2103,"BSc","Junior developer",FALSE,3,1.8,4002,11,30,34,80.1423611111009
FALSE,1992,"BSc","Junior developer",TRUE,4,2.4,4240,3,24,24,-0.97637795276205
TRUE,2643,"MSc or MBA","Junior designer",FALSE,3,3.8,4085,6,14,16,154.030888030862
FALSE,1949,"BSc","Junior designer",TRUE,1,2.7,3593,4,39,9,-337.969111969137
FALSE,2068,"MSc or MBA","Associate",FALSE,3,3.2,5249,2,41,30,165.655172413805
FALSE,2256,"BSc","Business analyst",FALSE,3,2.6,4018,8,11,26,75.232323232302
FALSE,2204,"MSc or MBA","Business analyst",FALSE,4,2.7,4290,6,13,22,48.1111111110931
TRUE,1948,"BSc","Senior developer",TRUE,2,2.7,6553,0,21,39,-170.62962962963
FALSE,2095,"BSc","Junior designer",FALSE,3,4.9,4078,4,16,15,147.030888030862
FALSE,2604,"MSc or MBA","Senior developer",TRUE,2,3.3,6627,4,37,10,-96.6296296296305
TRUE,1587,"BSc","Junior developer",TRUE,4,3.9,4263,10,21,10,22.023622047238
FALSE,2128,"BSc","Business analyst",FALSE,4,1.6,4274,8,21,30,32.1111111110931
FALSE,1853,"BSc","Junior developer",FALSE,1,3.5,3617,1,12,24,-304.857638888899
FALSE,1751,"BSc","Junior designer",TRUE,4,3.9,4219,3,44,25,-10.2142857143081
TRUE,2036,"MSc or MBA","Junior designer",TRUE,3,2.3,4125,2,14,20,194.030888030863
FALSE,1996,"BSc","Junior designer",TRUE,2,2.4,3752,7,23,25,-178.969111969137
TRUE,1552,"BSc","Business analyst",FALSE,2,3.2,3851,3,21,42,-91.7676767676971
FALSE,2009,"MSc or MBA","Associate",FALSE,3,3,5190,4,25,22,106.655172413805
